Linux 6.10.8default-kernel (jeonghoon-MS-7D22) 	2025년 07월 29일 	_x86_64_	(12 CPU)

14시 44분 49초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
14시 46분 01초  1000    391578         -    9.00  189.00    0.00    0.00  198.00     4  io_uring_udp_se
14시 46분 01초  1000         -    391578    9.00   89.00    0.00    0.00   98.00     4  |__io_uring_udp_se
14시 46분 01초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 02초  1000    391578         -    8.00  189.00    0.00    0.00  197.00     4  io_uring_udp_se
14시 46분 02초  1000         -    391578    8.00   89.00    0.00    0.00   97.00     4  |__io_uring_udp_se
14시 46분 02초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 03초  1000    391578         -   13.00  185.00    0.00    0.00  198.00     4  io_uring_udp_se
14시 46분 03초  1000         -    391578   12.00   86.00    0.00    0.00   98.00     4  |__io_uring_udp_se
14시 46분 03초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 04초  1000    391578         -   12.00  184.00    0.00    0.00  196.00     4  io_uring_udp_se
14시 46분 04초  1000         -    391578   13.00   84.00    0.00    0.00   97.00     4  |__io_uring_udp_se
14시 46분 04초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 05초  1000    391578         -   13.00  186.00    0.00    0.00  199.00     4  io_uring_udp_se
14시 46분 05초  1000         -    391578   13.00   85.00    0.00    0.00   98.00     4  |__io_uring_udp_se
14시 46분 05초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 06초  1000    391578         -   11.00  186.00    0.00    0.00  197.00     4  io_uring_udp_se
14시 46분 06초  1000         -    391578   11.00   86.00    0.00    0.00   97.00     4  |__io_uring_udp_se
14시 46분 06초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 07초  1000    391578         -   19.00  180.00    0.00    0.00  199.00     4  io_uring_udp_se
14시 46분 07초  1000         -    391578   18.00   80.00    0.00    0.00   98.00     4  |__io_uring_udp_se
14시 46분 07초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 08초  1000    391578         -    5.00  191.00    0.00    0.00  196.00     4  io_uring_udp_se
14시 46분 08초  1000         -    391578    6.00   91.00    0.00    0.00   97.00     4  |__io_uring_udp_se
14시 46분 08초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 09초  1000    391578         -    9.00  189.00    0.00    0.00  198.00     4  io_uring_udp_se
14시 46분 09초  1000         -    391578    9.00   90.00    0.00    0.00   99.00     4  |__io_uring_udp_se
14시 46분 09초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 10초  1000    391578         -   12.00  186.00    0.00    0.00  198.00     4  io_uring_udp_se
14시 46분 10초  1000         -    391578   12.00   86.00    0.00    0.00   98.00     4  |__io_uring_udp_se
14시 46분 10초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 11초  1000    391578         -    8.00  190.00    0.00    0.00  198.00     4  io_uring_udp_se
14시 46분 11초  1000         -    391578    8.00   90.00    0.00    0.00   98.00     4  |__io_uring_udp_se
14시 46분 11초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 12초  1000    391578         -   10.00  188.00    0.00    0.00  198.00     4  io_uring_udp_se
14시 46분 12초  1000         -    391578   10.00   87.00    0.00    0.00   97.00     4  |__io_uring_udp_se
14시 46분 12초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 13초  1000    391578         -    8.00  189.00    0.00    0.00  197.00     4  io_uring_udp_se
14시 46분 13초  1000         -    391578    7.00   89.00    0.00    0.00   96.00     4  |__io_uring_udp_se
14시 46분 13초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 14초  1000    391578         -   17.00  181.00    0.00    0.00  198.00     5  io_uring_udp_se
14시 46분 14초  1000         -    391578   18.00   81.00    0.00    0.00   99.00     5  |__io_uring_udp_se
14시 46분 14초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 15초  1000    391578         -   15.00  184.00    0.00    0.00  199.00     5  io_uring_udp_se
14시 46분 15초  1000         -    391578   14.00   84.00    0.00    0.00   98.00     5  |__io_uring_udp_se
14시 46분 15초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 16초  1000    391578         -   14.00  183.00    0.00    0.00  197.00     4  io_uring_udp_se
14시 46분 16초  1000         -    391578   15.00   84.00    0.00    0.00   99.00     4  |__io_uring_udp_se
14시 46분 16초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 46분 17초  1000    391578         -   13.00  185.00    0.00    0.00  198.00     4  io_uring_udp_se
14시 46분 17초  1000         -    391578   12.00   86.00    0.00    0.00   98.00     4  |__io_uring_udp_se
