Linux 6.10.8adaptive-sq+ (jeonghoon-MS-7D22) 	2025년 07월 31일 	_x86_64_	(12 CPU)

11시 56분 10초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
11시 57분 12초     0    122222         -    6.00  154.00    0.00    0.00  160.00     3  napi-busy-poll-
11시 57분 12초     0         -    122222    7.00   53.00    0.00    0.00   60.00     3  |__napi-busy-poll-
11시 57분 12초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 57분 13초     0    122222         -    6.00  152.00    0.00    1.00  158.00     5  napi-busy-poll-
11시 57분 13초     0         -    122222    7.00   52.00    0.00    1.00   59.00     5  |__napi-busy-poll-
11시 57분 13초     0         -    122224    0.00   98.00    0.00    2.00   98.00     2  |__iou-sqp-122222
11시 57분 14초     0    122222         -    5.00  152.00    0.00    0.00  157.00     0  napi-busy-poll-
11시 57분 14초     0         -    122222    6.00   52.00    0.00    0.00   58.00     0  |__napi-busy-poll-
11시 57분 14초     0         -    122224    0.00  100.00    0.00    0.00  100.00     2  |__iou-sqp-122222
11시 57분 15초     0    122222         -    6.00  153.00    0.00    0.00  159.00     0  napi-busy-poll-
11시 57분 15초     0         -    122222    7.00   52.00    0.00    0.00   59.00     0  |__napi-busy-poll-
11시 57분 15초     0         -    122224    0.00  100.00    0.00    0.00  100.00     2  |__iou-sqp-122222
11시 57분 16초     0    122222         -    7.00  152.00    0.00    0.00  159.00     3  napi-busy-poll-
11시 57분 16초     0         -    122222    7.00   51.00    0.00    0.00   58.00     3  |__napi-busy-poll-
11시 57분 16초     0         -    122224    0.00  100.00    0.00    0.00  100.00     2  |__iou-sqp-122222
11시 57분 17초     0    122222         -    6.00  152.00    0.00    0.00  158.00     1  napi-busy-poll-
11시 57분 17초     0         -    122222    8.00   50.00    0.00    0.00   58.00     1  |__napi-busy-poll-
11시 57분 17초     0         -    122224    0.00  100.00    0.00    0.00  100.00     2  |__iou-sqp-122222
11시 57분 18초     0    122222         -    6.00  155.00    0.00    0.00  161.00     4  napi-busy-poll-
11시 57분 18초     0         -    122222    7.00   54.00    0.00    0.00   61.00     4  |__napi-busy-poll-
11시 57분 18초     0         -    122224    0.00  100.00    0.00    0.00  100.00     2  |__iou-sqp-122222
11시 57분 19초     0    122222         -    8.00  152.00    0.00    0.00  160.00     1  napi-busy-poll-
11시 57분 19초     0         -    122222    9.00   50.00    0.00    0.00   59.00     1  |__napi-busy-poll-
11시 57분 19초     0         -    122224    0.00  100.00    0.00    0.00  100.00     2  |__iou-sqp-122222
11시 57분 20초     0    122222         -    6.00  152.00    0.00    0.00  158.00     5  napi-busy-poll-
11시 57분 20초     0         -    122222    7.00   52.00    0.00    0.00   59.00     5  |__napi-busy-poll-
11시 57분 20초     0         -    122224    0.00  100.00    0.00    0.00  100.00     2  |__iou-sqp-122222
11시 57분 21초     0    122222         -    7.00  152.00    0.00    0.00  159.00     5  napi-busy-poll-
11시 57분 21초     0         -    122222    8.00   51.00    0.00    0.00   59.00     5  |__napi-busy-poll-
11시 57분 21초     0         -    122224    0.00  100.00    0.00    0.00  100.00     2  |__iou-sqp-122222
11시 57분 22초     0    122222         -    6.00  150.00    0.00    0.00  156.00     2  napi-busy-poll-
11시 57분 22초     0         -    122222    8.00   52.00    0.00    0.00   60.00     2  |__napi-busy-poll-
11시 57분 22초     0         -    122224    0.00   97.00    0.00    4.00   97.00     1  |__iou-sqp-122222
11시 57분 23초     0    122222         -    6.00  155.00    0.00    0.00  161.00     4  napi-busy-poll-
11시 57분 23초     0         -    122222    8.00   53.00    0.00    0.00   61.00     4  |__napi-busy-poll-
11시 57분 23초     0         -    122224    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-122222
11시 57분 24초     0    122222         -    7.00  152.00    0.00    1.00  159.00     0  napi-busy-poll-
11시 57분 24초     0         -    122222    7.00   51.00    0.00    1.00   58.00     0  |__napi-busy-poll-
11시 57분 24초     0         -    122224    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-122222
11시 57분 25초     0    122222         -    7.00  152.00    0.00    0.00  159.00     2  napi-busy-poll-
11시 57분 25초     0         -    122222    9.00   51.00    0.00    0.00   60.00     2  |__napi-busy-poll-
11시 57분 25초     0         -    122224    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-122222
11시 57분 26초     0    122222         -    8.00  151.00    0.00    0.00  159.00     3  napi-busy-poll-
11시 57분 26초     0         -    122222   10.00   50.00    0.00    0.00   60.00     3  |__napi-busy-poll-
11시 57분 26초     0         -    122224    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-122222
11시 57분 27초     0    122222         -    7.00  154.00    0.00    0.00  161.00     0  napi-busy-poll-
